"Zeitstempel","How old are you?","What is your gender?","What is your current country of residence?","Would you say you live in a ...?","Do you separate garbage at home?","Which parts of garbage do you separate? (multiple answers possible)","Is garbage separation at households required by law in your neighborhood?"
"2019/08/02 1:17:12 PM GMT","60","Female","Greece","The suburs or outskirts of a big city","Yes","Plastic;Metal","No"
"2019/08/02 1:17:21 PM GMT","48","Male","Canada","The suburs or outskirts of a big city","Yes","Plastic;Paper;Metal","Yes"
"2019/08/02 1:17:54 PM GMT","52","Male","Uk","A big city","Yes","Plastic;Paper;Glas;Metal","No"
"2019/08/02 1:17:59 PM GMT","32","Female","Greece","A big city","Yes","Plastic;Paper;Glas;Metal","No"
"2019/08/02 1:18:20 PM GMT","21","Male","Switzerland","A big city","Yes","Paper;Glas;Metal","No"
"2019/08/02 1:18:29 PM GMT","21","Male","ireland","A farm or home on the countryside","Yes","Plastic;Paper;Metal","Don´t know."
"2019/08/02 1:18:41 PM GMT","46","Female","us","A town or small city","Yes","aluminum","No"
"2019/08/02 1:19:45 PM GMT","23","Male","Denmark","A town or small city","Yes","Plastic;Paper;Glas;Metal","Don´t know."
"2019/08/02 1:20:11 PM GMT","37","Female","Hungary","A town or small city","Yes","Paper","No"
"2019/08/02 1:20:22 PM GMT","45","Female","uk","The suburs or outskirts of a big city","Yes","Plastic;Paper;Glas","Don´t know."
"2019/08/02 1:20:32 PM GMT","36","Female","United kingdom","A town or small city","Yes","Plastic;Paper;Glas;Metal;Organic","No"
"2019/08/02 1:20:33 PM GMT","21","Female","United Kindgom","A town or small city","Yes","Paper;Glas","Don´t know."
"2019/08/02 1:20:52 PM GMT","43","Female","England","A farm or home on the countryside","Yes","Plastic;Paper;Glas;Organic","No"
"2019/08/02 1:21:58 PM GMT","26","Male","USA","The suburs or outskirts of a big city","Yes","Plastic;Paper","No"
"2019/08/02 1:22:06 PM GMT","32","Female","UK","A big city","Yes","Plastic;Paper;Glas","Don´t know."
"2019/08/02 1:22:37 PM GMT","29","Female","USA","The suburs or outskirts of a big city","No","I don´t separate","No"
"2019/08/02 1:23:01 PM GMT","25","Male","Poland","A big city","Yes","Paper;Glas","No"
"2019/08/02 1:23:14 PM GMT","24","Male","Estonia","The suburs or outskirts of a big city","No","industrial waste goes to certain gathering locations instead of into the garbage truck, same with electronics etc","Yes"
"2019/08/02 1:23:27 PM GMT","19","Male","Spain","A country village","Yes","Plastic;Paper;Glas;Organic","Yes"
"2019/08/02 1:23:55 PM GMT","26","Female","United Kingdom","A big city","No","I don´t separate","No"
"2019/08/02 1:24:35 PM GMT","26","Male","poland","A country village","Yes","Plastic;Paper;Glas;Organic","Yes"
"2019/08/02 1:25:25 PM GMT","26","Female","London","A big city","Yes","Plastic;Paper","Don´t know."
"2019/08/02 1:25:54 PM GMT","34","Female","Uk","A town or small city","Yes","Plastic;Paper;Glas;Metal","Yes"
"2019/08/02 1:26:26 PM GMT","18","Female","United States of America","The suburs or outskirts of a big city","Yes","Plastic;Paper","No"
"2019/08/02 1:27:18 PM GMT","34","Female","Uk","A town or small city","Yes","Plastic;Paper;Glas;Metal","Don´t know."
"2019/08/02 1:28:00 PM GMT","19","Female","United States","A big city","Yes","recyclables","No"
"2019/08/02 1:28:34 PM GMT","30","Female","United Kingdom","A town or small city","Yes","Paper","Yes"
"2019/08/02 1:30:58 PM GMT","18","Female","germany","A country village","Yes","Plastic;Paper;Glas;Organic","Yes"
"2019/08/02 1:31:08 PM GMT","30","Male","Portugal","The suburs or outskirts of a big city","No","I don´t separate","No"
"2019/08/02 1:31:45 PM GMT","25","Male","United Kingdom","A big city","Yes","Plastic;Paper","Yes"
"2019/08/02 1:32:14 PM GMT","19","Female","Greece","A big city","Yes","Plastic;Paper;Glas;Metal;Organic","No"
"2019/08/02 1:32:30 PM GMT","27","Male","Hungary","A big city","Yes","Plastic;Paper","No"
"2019/08/02 1:32:50 PM GMT","35","Female","Uk","A town or small city","Yes","Plastic;Paper;Glas;Organic","Yes"
"2019/08/02 1:33:02 PM GMT","31","Male","United States","A farm or home on the countryside","Yes","Plastic;Paper;Glas;Metal;Organic","No"
"2019/08/02 1:33:25 PM GMT","30","Female","United States of America","A town or small city","No","I don´t separate","No"
"2019/08/02 1:34:05 PM GMT","25","Female","portugal","The suburs or outskirts of a big city","Yes","Plastic;Paper;Glas;Metal;Organic","No"
"2019/08/02 1:34:26 PM GMT","21","Male","Poland","A country village","Yes","Plastic;Paper;Metal","Yes"
"2019/08/02 1:34:31 PM GMT","27","Female","Portugal","A big city","Yes","Plastic;Paper;Glas;Metal;Organic","No"
"2019/08/02 1:34:34 PM GMT","18","Male","Slovenia","A country village","Yes","Plastic","Yes"
"2019/08/02 1:35:14 PM GMT","18","Female","Poland","The suburs or outskirts of a big city","Yes","Plastic;Paper;Glas","Don´t know."
"2019/08/02 1:35:40 PM GMT","23","Male","Sweden","A big city","Don´t know","Glas;Metal","No"
"2019/08/02 1:35:50 PM GMT","59","Male","UK","The suburs or outskirts of a big city","Yes","Plastic;Paper;Glas;Metal","Yes"
"2019/08/02 1:35:59 PM GMT","21","Male","Chile","A town or small city","No","I don´t separate","No"
"2019/08/02 1:37:52 PM GMT","27","Female","Portugal","A big city","Yes","Plastic;Paper;Glas;Metal;Organic","No"
"2019/08/02 1:40:23 PM GMT","34","Female","Estonia","A big city","No","Glas","Yes"
